,density,material_id,pretty_formula,comp,density_vegards,density_predict,densCr_predict,vegards_diff,diff_predict,vPlusDiff
0,0.17485492718555967,mp-1056079,Cu,Cu1,8.96,8.584628833333335,7.9450160921324855,-8.78514507281444,-0.24233720585159574,8.717662794148405
1,0.9703330228111626,mp-1076923,Ta,Ta1,16.65,9.969097500000005,13.76693086116879,-15.679666977188836,-1.3720446262755208,15.277955373724478
2,0.22419954217550495,mp-623782,EuAg,Eu1 Ag1,7.87,7.104971412698413,8.325466638107653,-7.645800457824495,-0.29571075597173846,7.574289244028262
3,0.1231782922436769,mp-1067451,TcB,Tc1 B1,6.92,6.125119999999999,6.7937745522528505,-6.796821707756323,1.7431730832250587,8.66317308322506
4,1.9688921026698163,mp-1080274,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.481107897330184,0.7883335614661449,6.2383335614661455
5,1.3658754749431805,mp-1080275,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-4.084124525056819,0.7883335614661449,6.2383335614661455
6,1.4056680239693309,mp-1080280,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-4.044331976030669,0.7883335614661449,6.2383335614661455
7,0.763891633186925,mp-1080294,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-4.686108366813075,0.7883335614661449,6.2383335614661455
8,1.850314442623444,mp-1080331,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.5996855573765565,0.7883335614661449,6.2383335614661455
9,1.925860009548709,mp-1080352,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.524139990451291,0.7883335614661449,6.2383335614661455
10,1.429226868057466,mp-1080355,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-4.020773131942534,0.7883335614661449,6.2383335614661455
11,1.7376792420294482,mp-1080356,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.712320757970552,0.7883335614661449,6.2383335614661455
12,0.9424090745922789,mp-1080360,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-4.5075909254077215,0.7883335614661449,6.2383335614661455
13,1.9983786275531112,mp-1080361,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.4516213724468887,0.7883335614661449,6.2383335614661455
14,1.7670988464949904,mp-1080365,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.68290115350501,0.7883335614661449,6.2383335614661455
15,1.8153694825861164,mp-1080367,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.6346305174138838,0.7883335614661449,6.2383335614661455
16,1.8354952172044394,mp-1080371,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.614504782795561,0.7883335614661449,6.2383335614661455
17,1.9970672829697673,mp-1080375,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.452932717030233,0.7883335614661449,6.2383335614661455
18,1.8525594236661906,mp-1080628,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.5974405763338098,0.7883335614661449,6.2383335614661455
19,1.821190754229578,mp-1080629,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.628809245770422,0.7883335614661449,6.2383335614661455
20,1.7398413738434366,mp-1080631,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.7101586261565638,0.7883335614661449,6.2383335614661455
21,1.9572962763032238,mp-1080634,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.4927037236967764,0.7883335614661449,6.2383335614661455
22,1.4545320458883748,mp-1080637,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.9954679541116254,0.7883335614661449,6.2383335614661455
23,1.7097891473005467,mp-1080638,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.7402108526994535,0.7883335614661449,6.2383335614661455
24,1.8395412865394822,mp-1080639,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.6104587134605177,0.7883335614661449,6.2383335614661455
25,1.8297453256235294,mp-1080641,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.6202546743764707,0.7883335614661449,6.2383335614661455
26,1.970169434885256,mp-1080642,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.479830565114744,0.7883335614661449,6.2383335614661455
27,1.8054806553916805,mp-1080854,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.6445193446083195,0.7883335614661449,6.2383335614661455
28,1.707804302052122,mp-1080855,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.742195697947878,0.7883335614661449,6.2383335614661455
29,1.8341013741914964,mp-1080860,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.6158986258085037,0.7883335614661449,6.2383335614661455
30,1.5511091425120478,mp-1080863,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.8988908574879524,0.7883335614661449,6.2383335614661455
31,1.841183047302464,mp-1080865,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.608816952697536,0.7883335614661449,6.2383335614661455
32,1.7559262209375883,mp-1080867,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.694073779062412,0.7883335614661449,6.2383335614661455
33,1.95646817027014,mp-1084851,CeSe2,Ce1 Se2,5.45,8.468219880952383,6.514887470364816,-3.49353182972986,0.7883335614661449,6.2383335614661455
