,importance,totalImp
avg_dev NsUnfilled,0.0006659209415513094,0.003777027325650051
range NdValence,0.000568919900802747,0.003442599516887833
mean abs simul. packing efficiency,0.00041688381926207317,0.00342448262794192
maximum GSbandgap,0.00014037334605157642,0.003408350177479296
dist from 1 clusters |APE| < 0.010,0.0005065165673570171,0.003353984089093196
minimum SpaceGroupNumber,0.0001939485353636651,0.003255178977725443
maximum NdValence,0.0008645047397745063,0.0032045829871140768
mode SpaceGroupNumber,0.0007771458999966336,0.0027520827664729583
avg s valence electrons,0.00041906217207672005,0.0025088506212293782
mode GSmagmom,0.0007739209373928183,0.002271434081828563
maximum GSmagmom,0.0007263252240117996,0.0022313461600936514
mean NsUnfilled,0.0003962632039161509,0.0021572114225960125
mean NsValence,0.0003176756813746032,0.0021407780523779074
avg_dev NsValence,0.0003952125995891608,0.002116503486739237
minimum NdValence,2.459244538361473e-05,0.0020250444811660126
minimum NdUnfilled,0.00039665691864111853,0.0020206106608098833
range GSmagmom,0.0002823406804089568,0.0016130201722228483
maximum NsUnfilled,0.0003915466652684947,0.0014377564744152806
mode NfValence,0.0005642555208973421,0.0014302190134958975
minimum NsValence,2.4763922894786824e-05,0.0009447657670135015
maximum SpaceGroupNumber,0.0001888637133966611,0.0009084896222787052
mode NdUnfilled,0.00044998763812839675,0.0009042893650162181
mode GSbandgap,6.658381597635203e-05,0.0006729943360415801
mode NsUnfilled,0.0002206936664482525,0.0006170239015764688
range NsUnfilled,0.0002311292398771281,0.0005773899005543093
mode NsValence,4.885722061627581e-05,0.0003677238961332128
range NsValence,5.611167207968178e-05,0.00032669576422927134
compound possible,2.755623907453799e-05,0.00023598577608441884
minimum GSmagmom,0.0,2.0630495703770546e-05
mode NfUnfilled,1.4066589248786507e-05,1.4186400497243206e-05
minimum NpUnfilled,0.0,0.0
