,importance,totalImp
minimum GSvolume_pa,0.001192903612996035,0.0038324098986185417
maximum NdUnfilled,0.000791565714920648,0.0037360406713177457
mean simul. packing efficiency,0.000524111882072081,0.0034170096969103883
minimum SpaceGroupNumber,0.0009887186298169598,0.003392320590610405
range Column,0.00027189453699801914,0.0031954702132695324
maximum NdValence,0.0003061187553731546,0.003023407688585907
range SpaceGroupNumber,0.0006806958913866763,0.002818073805256976
mean NsValence,0.00028473459546412747,0.0025752570974790666
mean NsUnfilled,0.00023344563168111278,0.0024912832684586303
avg_dev NsUnfilled,0.0005298611953311311,0.002432122778471296
avg_dev NsValence,0.0003768104458128923,0.002417123797832498
avg s valence electrons,0.0005324200369035913,0.0023137613499034605
mode GSmagmom,0.00035723676323910677,0.002204785085366201
mode GSbandgap,0.0007833217439128598,0.0020522046825145876
mode NdUnfilled,0.0006139985561876467,0.001994316484782995
maximum SpaceGroupNumber,0.000485293418466453,0.0015051039846045884
minimum NdValence,0.0003125946156213879,0.0014947017893929613
minimum NdUnfilled,0.0002544013415632213,0.001276001954529466
mode NfValence,5.7830733315736e-06,0.0011608346798479203
range NsValence,0.00019824828996832996,0.0011251509038086751
minimum Row,0.00022113415896583068,0.0011223562210299653
0-norm,0.000209055729382828,0.000955656478899539
maximum NsUnfilled,6.92174388427518e-05,0.0009117306381090993
minimum NsValence,0.0001308611267806467,0.0007974228007161655
range NsUnfilled,5.495549891888331e-05,0.0007774124731976257
mode NsValence,4.3609061690753805e-05,0.0006579241336526437
compound possible,5.9847746030072027e-05,0.00033697174914516277
mode NsUnfilled,0.00011487567832631278,0.00030380568011109205
mode NfUnfilled,2.383501846948913e-06,6.870248124973312e-05
minimum GSmagmom,1.2171057888706206e-07,4.725887982138007e-07
maximum NsValence,0.0,0.0
