,importance,totalImp
maximum GSmagmom,0.0005121561772556349,0.007224023057880646
mean NsUnfilled,0.000937010339004638,0.006748005722935145
avg_dev NsUnfilled,0.0005224288894287268,0.006730498261131517
minimum NValence,0.0007101113386226997,0.0059486210457270336
minimum NdUnfilled,0.00016922215857757144,0.005741981118891107
range NdValence,0.0004620030424314539,0.004835903938407523
mean NfUnfilled,0.0006000155869605077,0.004573915731117811
0-norm,0.0009721798985439339,0.004350927138995062
range NfValence,0.0006515939128583826,0.0038841081043229126
mode Row,0.00038857733018217585,0.0038087748272213643
minimum GSmagmom,0.000289796101712337,0.003068727642473394
range NpValence,0.0007489049056194598,0.002797681090997056
mode NfValence,0.00016009082073608822,0.002751834344780576
maximum NfUnfilled,0.00019056632463912752,0.002096865258116076
maximum NpUnfilled,3.064143341507117e-05,0.001967567414279482
maximum NpValence,0.0007415768623601355,0.001865692997706514
maximum NsUnfilled,5.406763388458166e-05,0.0014483138182911988
avg_dev NfUnfilled,0.00024385288760046166,0.0013416040518654522
range NsValence,0.0002415760757663692,0.001113068255670683
mode NsValence,8.751508106950237e-05,0.0011007378878544747
range NpUnfilled,0.00016685610966453177,0.0010207671911743339
minimum NfValence,2.5623004400263706e-06,0.0010151242154978716
range NsUnfilled,0.00023025081362224985,0.0008807523042131377
minimum NsValence,8.44012699200055e-05,0.000861228209184786
compound possible,2.7167269320748862e-06,0.000839994914882254
mode NsUnfilled,5.811074573343367e-05,0.0007781876356502195
mode NpUnfilled,0.0001804534304107241,0.0007333339673340252
range NfUnfilled,0.00037209446411810967,0.0007315589714556907
mode NpValence,6.96403436222014e-05,0.0006937399630215064
minimum NsUnfilled,1.2103042607454664e-05,0.0005451012857921702
mode NfUnfilled,0.000323427599032942,0.0005192009589230545
mode GSbandgap,0.0,0.00045697362722081647
minimum NpValence,0.0,0.0002967164176536941
minimum NpUnfilled,0.0,0.0002444981580493671
maximum NsValence,0.0,0.0002315809287472983
minimum NfUnfilled,2.674263021613503e-05,6.604056165803956e-05
minimum GSbandgap,0.0,1.400497999747861e-05
