,importance,totalImp
dist from 1 clusters |APE| < 0.010,0.0004898604670521691,0.0032054094233304902
range GSmagmom,0.0006281786736822044,0.00312579523527323
dist from 3 clusters |APE| < 0.010,0.000949006221522198,0.0030739904796924164
mode NsUnfilled,0.0005190542349964623,0.002937953813834244
0-norm,0.0005961653848192721,0.002934159455919507
minimum Row,0.00015259298870132448,0.002922689385077717
dist from 5 clusters |APE| < 0.010,0.000914950785724221,0.0028976892341678376
maximum NdUnfilled,0.0012327445769072076,0.002803526986797513
mean NfUnfilled,0.0002847078422682063,0.0026711603523379927
mean simul. packing efficiency,0.0005326052134957781,0.0022809441017657825
mode NpUnfilled,0.0004779432398119515,0.0020823247634402463
minimum SpaceGroupNumber,0.00040081159399035007,0.002050103769805995
mode GSmagmom,0.00018770766075496784,0.0017322766936137383
range NdValence,0.0006002088316243954,0.0016771536265156196
range SpaceGroupNumber,8.815948355716615e-05,0.0015245240459194208
maximum Row,0.00021111990296803377,0.001425427102113069
mode NfUnfilled,1.1690037590864706e-05,0.0014202099159049517
avg_dev NfUnfilled,0.00010975290792154411,0.0013644226145462933
minimum NdValence,0.00030017379288646556,0.0013564789066133045
maximum SpaceGroupNumber,0.0004004834797017014,0.0008397349280045982
range NfUnfilled,4.1361352394695157e-05,0.0007640036258570582
maximum NdValence,0.00015063842706302392,0.0006882052600676386
maximum NsUnfilled,0.00021537967850960297,0.0005999904436278943
range NsUnfilled,3.5262188865605374e-05,0.0005094065053873884
maximum NfUnfilled,5.086854777093159e-05,0.00032817369404999225
minimum NdUnfilled,3.7468401216981514e-05,0.00016724344491453728
minimum GSmagmom,4.77487329635253e-06,7.063958132925107e-06
minimum NpValence,0.0,0.0
