Composition,Cal. E (GPa),Cal. G (GPa),Cal. K (GPa),Cal. K/G,E (GPa),E/? (GPa cm3/g),Ec (GPa) Calculated by Eq. (8.2),Ec (GPa) Calculated by Eq. (8.3),Ec (GPa) Calculated by Eq. (8.4),G (GPa),G (GPa).1,G/K,Gc (kJ/m^2),Hv (GPa),K (GPa),K/G,Kc (MPa m^1/2),Tg (K),Tl (K),Tm (K),Trg,Tx (K),dK/dP,dc (mm),dvl/dP (km/s GPa),dvs/dP (km/s GPa),mk,mt,vl (km/s),vl/vs,vs (km/s),?E/E0,?E/E0 (%),?G/G0,?G/G0 (%),?K/K0,?K/K0 (%),?Vl/Vl0 (%),?Vs/Vs0 (%),?vl/vl0,?vs/vs0,??D/?D0,??/?0,??/?0 (%),??/?0,??/?0 (%),?av,?l,?s,?sla,?D (K),?,? (g/cm3),?f (GPa)
Pt,,,,,74,,,,,29,,,,5.49,57,,,,,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,21.45,
Ca,,,,,20,,,,,7.4,,,,1.75,17,,,,,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,1.54,
Sr,,,,,,,,,,6.1,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,2.64,
W,,,,,411,,,,,161,,,,34.3,310,,,,,3683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,19.25,
B,,,,,,,,,,,,,,9.3,320,,,,,2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,
C,,,,,,,,,,,,,,,33,,,,,3820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.514,
Si,,,,,47,,,,,,,,,6.5,100,,,,,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,
Sc,,,,,74,,,,,29,,,,,57,,,,,1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,2.989,
Y,,,,,64,,,,,26,,,,,41,,,,,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,4.47,
La,,,,,37,,,,,14,,,,4.91,28,,,,,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,6.15,
Ce,,,,,34,,,,,14,,,,2.7,22,,,,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,7.14,
Pr,,,,,37,,,,,15,,,,4,29,,,,,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,6.64,
Nd,,,,,41,,,,,16,,,,3.43,32,,,,,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,6.8,
Sm,,,,,50,,,,,20,,,,4.12,38,,,,,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,7.353,
Gd,,,,,55,,,,,22,,,,5.7,38,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,7.9,
Tb,,,,,56,,,,,22,,,,8.63,39,,,,,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,8.22,
Dy,,,,,61,,,,,25,,,,5.4,41,,,,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,8.55,
Ho,,,,,65,,,,,26,,,,4.81,40,,,,,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,8.8,
Er,,,,,70,,,,,28,,,,5.89,44,,,,,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,9.07,
Tm,,,,,74,,,,,31,,,,5.2,45,,,,,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,9.321,
Yb,,,,,24,,,,,9.9,,,,2.6,31,,,,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,6.57,
Lu,,,,,69,,,,,27,,,,11.6,48,,,,,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,9.842,
Zr50.6Ti5.2Cu18.8Ni14.1Al14.3,,,,,,,,,,,,,,,,,,,,,,,4.344,,0.062,0.017,,,,,,,1.23,,1.16,,1.97,0.64,0.36,,,,,0.27,,0.44,1.03,1.76,0.67,1.95,,,,
Zr41Ti14Cu12.5Ni10.2Be22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,1.07,,1.84,0.57,0.3,,,,,0.28,,0.46,,,,,,,,
Zr41Ti14Cu12.5Ni10Be22.5,,,,,,,,,,,,,,,,,,,,,,,4.058,,0.055,0.014,,,,,,,,,,,,,,,,,,,,,1.12,1.65,0.86,1.85,,,,
Zr41Ti14Cu12.5Ni5Be22.5,,,,,,,,,,,,,,,,,,623,,,,698,,,,,,,,,,27.2,,30.3,,4,,,,5.3,13.5,13.44,-9.4,,1.1,,,,,,,,,
Zr46.75Ti8.25Cu5.5Ni10Be27.5,,,,,,,,,,,,,,,,,,623,,,,731,,,,,,,,,,27.7,,31,,2.6,,,,4.4,10.8,10.8,-9.5,,1.05,,,,,,,,,
