Composition,Cal. E (GPa),Cal. G (GPa),Cal. K (GPa),Cal. K/G,E (GPa),E/? (GPa cm3/g),Ec (GPa) Calculated by Eq. (8.2),Ec (GPa) Calculated by Eq. (8.3),Ec (GPa) Calculated by Eq. (8.4),G (GPa),G (GPa).1,G/K,Gc (kJ/m^2),Hv (GPa),K (GPa),K/G,Kc (MPa m^1/2),Tg (K),Tl (K),Tm (K),Trg,Tx (K),dK/dP,dc (mm),dvl/dP (km/s GPa),dvs/dP (km/s GPa),mk,mt,vl (km/s),vl/vs,vs (km/s),?E/E0,?E/E0 (%),?G/G0,?G/G0 (%),?K/K0,?K/K0 (%),?Vl/Vl0 (%),?Vs/Vs0 (%),?vl/vl0,?vs/vs0,??D/?D0,??/?0,??/?0 (%),??/?0,??/?0 (%),?av,?l,?s,?sla,?D (K),?,? (g/cm3),?f (GPa)
(Ce40La60)68Al10Cu20Co2,,,,,30.4,4.71,,,,11.2,,,,,34.4,3.06,,,,,,,,,,,,,2.766,2.1,1.32,,,,,,,,,,,,,,,,,,,,144.4,0.353,6.447,
(Ce50La50)68Al10Cu20Co2,,,,,31.3,4.82,,,,11.6,,,,,34.3,2.96,,,,,,,,,,,,,2.769,2.07,1.337,,,,,,,,,,,,,,,,,,,,146.5,0.348,6.492,
(Ce70La80)68Al10Cu20Co2,,,,,31.8,4.77,,,,11.9,,,,,32.9,2.78,,,,,,,,,,,,,2.707,2.03,1.335,,,,,,,,,,,,,,,,,,,,147.2,0.339,6.653,
(Ce80La20)68Al10Cu20Co2,,,,,31.1,4.65,,,,11.6,,,,,31.79,2.73,,,,,,,,,,,,,2.659,2.02,1.319,,,,,,,,,,,,,,,,,,,,145.6,0.337,6.694,
Se70Ge30,,,,,15.7,3.7,,,,6.2,,,,,11.7,1.9,,,,,,,,,,,,,2.16,1.8,1.2,,,,,,,,,,,,,,,,,,,,128,0.277,4.277,
Se,,,,,9.4,2.2,,,,3.5,,,,,9.9,2.85,,,,,,,,,,,,,1.84,2.04,0.905,,,,,,,,,,,,,,,,,,,,96.4,0.343,4.3,
Er50Al24Co20Y6,80.2,31.2,58.5,1.88,71.1,,,,,27,,,,,65.1,2.41,,651,1079,,0.6,702,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,,
Ho35Y21Al24Co20,,,,,69.1,,,,,26.2,,,,,63.6,,,644,1074,,0.63,696,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,,
Dy46Al24Co18Fe2Y10,,,,,64.2,,,,,24.4,,,,,58.5,,,627,1023,,0.63,677,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,
Gd36Al24Co20Y20,,,,,62.2,,,,,23.6,,,,,57.4,,,603,1048,,0.6,658,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,,
Nd60Fe20Co10Al10,,,,,54.1,,,,,20.7,,,,,54.1,,,485,815,,0.59,615,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,
Pr60Al10Ni10Cu20,,,,,37.2,,54.5,42.5,50.8,13.6,,,,,45.2,3.31,,417,806,,0.51,452,,5,,,,31,,,,34.7,,37.6,,10.8,,,,8.6,17.1,16.8,-5.2,,0.35,,,,,,,0.363,,
Zr57Ti5Cu20Ni8Al10,,,,,82,,84.2,76.5,82.1,30.1,,0.303,68,5.4,,,80,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.1,0.362,,1.77
Ti40Zr25Cu12Ni3Be20,,,,,97.3,,,,,,,0.279,14.2,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352,,
Dy40Y16Al24Co20,,,,,,,,,,,,0.417,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,
Fe50Mn10Mo14Cr4C16B6,,,,,200,,,,,,,0.423,0.02,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,,
Pd77.5Cu6Si16.5,96.4,35,156.6,4.48,88.8,,,,,32.9,,0.189,35,,174.7,5.31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,
Fe80P13C7,,,,,137.3,,,,,,,0.214,60,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,
Ca65Li9.96Mg8.54Zn16.5,,,,,23.4,,,,,8.95,,,,1.35,20.2,2.26,,320,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,220.7,0.307,,0.53
(Cu50Zr50)86Al7Be7,,,,,,,,,,38.1,,,,,122.6,3.22,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,0.359,,
(Cu50Zr50)86Al7Ag7,,,,,,,,,,32.7,,,,,156.1,4.77,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,0.402,,
Ca65Mg15Zn20,,,,,22.4,,,,,10.1,,,,,22.6,2.23,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,0.3,,
Pd39.1Ni10.1Cu29.9P20.9,,,,,98.2,,,,,35.2,,,,,158.7,4.52,,564,,,,637,6.277,,0.072,0.021,59,52,,,,25,,27.2,,2.2,,,,3.2,12.4,12.3,-6,,0.7,,2.26,2.75,2.02,2.97,,0.397,,
Au77.8Ge13.8Si8.4,,,,,,,,,,,,,,,,8.28,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,0.442,,
Mg65Cu25Y10,,,,,,,,,,19.4,,,,,44.7,2.3,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,0.305,,
Fe70B5C5Si3Al5Ga2P10,,,,,149.7,,,,,58.5,,,,,113.4,1.938,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,0.28,,
Fe41.5Ni41.5P17,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,0.452,,
Ni60Nb35Sn5,,,,,,,143.6,118.6,136.4,66.3,,,,,267,4.03,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,0.385,,
Zr52.25Cu28.5Ni4.75Al9.5Ta5,,,,,90,,88.9,78.9,85.2,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.909
Ti50Cu23Ni20Sn7,,,,,85.3,,122.2,107.2,117.9,,,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Ti50Ni24Cu20B1Si2Sn2,,,,,110,,130.4,116.8,125.4,,,,,6.1,,,,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Cu55Zr30Ti10Co5,,,,,130,,103.8,92.6,102.6,,,,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
Cu60Hf30Ti10,,,,,124,,106,99.9,107.3,,,,,,,,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16
Ni45Ti20Zr25Al10,,,,,114,,119.6,96.9,110.1,,,,,7.75,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37
Ni40Cu5Ti17Zr28Al10,,,,,133.9,,115.2,93.9,106.4,,,,,8.45,,,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Pd80Si20,,,,,70,,101.7,85.8,92,,,,,,,,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34
Mg65Y10Cu15Ag5Pd5,,,,,59,,58.8,52.1,55,,,,,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77
Mg65Cu20Y15,,,,,69,,58.1,52,54.6,,,,,2.6,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82
Fe61Zr8Y2Co6Mo7Al1B15,,,,,222,,210.4,153.1,186.5,,,,,11.4,,,,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Fe0.75B0.2Si0.05)96Nb4,,,,,180,,218.6,163.6,190.5,,,,,10.5,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,,,,,205,,218.4,163.1,190.2,,,,,12,,,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17
Co43Fe20Ta5.5B31.5,,,,,268,,258.5,233.9,249,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.185
W46Ru37B17,,,,,309,,415.5,414.9,417.9,,,,,16.8,,,,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca65Ag35,,,,,20,,31,23,27.2,,,,,1.5,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca57Mg19Cu24,,,,,38,,33.2,23.6,28.9,,,,,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545
Ni50Nb50,137.7,50.7,174.9,3.45,132,,,,,48.1,,,,8.93,168.3,3.49,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
Mo52Cr14Fel4P12B8,,,,,,,,,,,,,,12.6,,,,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo40Co20Fe20B20,,,,,,,,,,,,,,17.5,,,,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W46Ru37B12Si5,,,,,229,,,,,,,,,13.2,,,,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W45Ru36B17Hf2,,,,,262,,,,,,,,,16.5,,,,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al88Ni9Ce2Fe1,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
Tm39Al25Co20Y16,,,,,75,,,,,29.4,,,,6.07,,,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,1.98
Au76.9Si9.45Ge13.66,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,
Au70Cu5.5Ag7.5Si17,,,,,,,,,,,,,,2.64,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pt60Cu16Co2P22,,,,,96,,,,,,,,,4.02,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,1.1
(Cu50Zr50)90Al7Gd3,86,36.9,104.4,2.82,89,,,,,32.4,,,,,117.1,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
