,importance,totalImp
dist from 3 clusters |APE| < 0.010,0.0010237730980827454,0.004388029105877838
maximum Column,0.0006607085769006844,0.003998922236839746
mean abs simul. packing efficiency,0.0007877766242038191,0.003970451666659082
mean GSbandgap,0.0007717104088377,0.003901795671818315
range GSmagmom,0.00037520712785839153,0.003333562879520636
minimum SpaceGroupNumber,0.0017540843875282239,0.0032681125436573653
dist from 1 clusters |APE| < 0.010,0.0007940797442139683,0.0032574152406700304
mean NfUnfilled,0.000510748768184284,0.0032066576321203425
range GSbandgap,0.0003277038590338616,0.0031754698626989884
range NpValence,0.000793314899901688,0.003064688612731047
maximum GSmagmom,0.0004988157594876225,0.003003839054641337
range NUnfilled,0.0003950506748345498,0.002825748412092451
maximum NfUnfilled,0.0002226268398980605,0.002556214013617613
maximum NsUnfilled,0.0002249918895655316,0.0024510092705784955
maximum GSbandgap,0.0002533355138188805,0.0023915472390618913
avg_dev NsUnfilled,0.00023923134482167977,0.0023264747850518797
mode NfUnfilled,3.472346876991756e-05,0.0017304645625605775
avg_dev NfUnfilled,0.00021674569174619986,0.0015799308099872678
mode GSbandgap,0.0006204862700867184,0.001570402145007741
range NsValence,0.0003200679926987634,0.0014461474213223959
minimum NdUnfilled,8.092499057441454e-05,0.0013952561212778787
mode NsUnfilled,0.0001641122173050618,0.0013779216642860253
maximum NpValence,0.00019343301448788947,0.0013156577941547307
maximum NpUnfilled,0.0003365213678559717,0.0010945074446484194
range NfUnfilled,0.00022242194461811465,0.0010438271939179893
minimum GSbandgap,5.744890843155212e-05,0.001025087394302323
minimum NpUnfilled,0.000277190485619184,0.0007985214206739126
minimum NfValence,5.1134437032514204e-05,0.0007570251018610004
0-norm,0.00015693806006060113,0.0007482149374051715
minimum NpValence,8.989751882597829e-06,0.000659015339463557
minimum NfUnfilled,3.0669617269093673e-06,0.0005573541961445072
range NsUnfilled,0.000101877698150648,0.000491921012035633
compound possible,8.359217488248669e-05,0.00047167257319537974
maximum NsValence,2.611447940863452e-05,0.00043466761559998247
minimum GSmagmom,2.4193388694928017e-05,0.0003717296005335927
minimum NsUnfilled,1.6533147679964245e-05,0.0001331771504207954
