feat_name,importance,totalImp
mean GSbandgap,0.06230874305354926,0.26927686698003034
minimum Number,0.03489035539178102,0.22596491879097375
minimum CovalentRadius,0.04682462261598829,0.2137244222780072
avg_dev Row,0.0459270535407405,0.20829616115905375
maximum GSbandgap,0.04756290056494771,0.1792026187511948
minimum GSvolume_pa,0.021915104009603503,0.16267142202782675
range Row,0.02584427904823627,0.1584743641648049
avg_dev Number,0.032184491216510944,0.15240815665395857
mode CovalentRadius,0.03850916211246675,0.1522493842206581
Yang delta,0.018908081884550374,0.14813230572744518
mode Number,0.03171683716242761,0.14030744109074567
range Number,0.02391531147042936,0.12949880433385527
range GSbandgap,0.02407780324314758,0.10385180870922534
mode GSvolume_pa,0.02129642541801519,0.09232815958157166
range NfValence,0.03306051499731912,0.08945800644390874
mean NfValence,0.017429568784544706,0.0872159623245061
range CovalentRadius,0.015171526396511682,0.08475759057673446
mean CovalentRadius,0.012711009740241917,0.08343129120768648
avg_dev CovalentRadius,0.02487973434933931,0.08001621795085186
maximum Number,0.019538723155582468,0.07773128689660623
mean NpUnfilled,0.007184380095596863,0.07565901333632
maximum MeltingT,0.00508140538167292,0.07250356241681907
mean MeltingT,0.021262187408301356,0.0710186125643889
maximum NfValence,0.014668736570123624,0.06136718702438296
range NValence,0.012772494237489504,0.05611341654847254
avg_dev NValence,0.013184025579546382,0.051746365934783434
mean NValence,0.01017775801649231,0.05120863085481807
maximum NValence,0.009514039100502584,0.0506872056217786
mean NpValence,0.009427483415462953,0.045966774688337396
mean GSvolume_pa,0.0068699215687474625,0.04487770085031044
maximum NdValence,0.008793477789929805,0.04487614763940248
minimum NUnfilled,0.00847226123998917,0.04073013157121075
avg_dev Column,0.006520078385406917,0.04047366201676328
maximum MendeleevNumber,0.006908152391952936,0.03984380113697353
mean Number,0.008068615544479546,0.03880053006922056
mode MeltingT,0.004618755798493587,0.03861375784466646
range NpValence,0.007383506958276064,0.03843209462302851
maximum Electronegativity,0.0033893497732260715,0.03611453465286851
maximum Column,0.0051719528365859555,0.03544247340265747
avg_dev NdValence,0.0064033596346592045,0.03350605822099476
mean NUnfilled,0.005656119236354945,0.033026346385009106
avg_dev Electronegativity,0.007455751241574393,0.03285098929139342
range NdValence,0.007188818621918078,0.03239376703237144
mean Electronegativity,0.006702317488541985,0.03143521974972667
mean MendeleevNumber,0.006558777715465015,0.0303204608272968
avg_dev MendeleevNumber,0.005995429932572941,0.02996235913490561
avg ionic char,0.005983326769395527,0.029956408590155442
minimum MeltingT,0.006458688801092554,0.02905259977259389
mean Column,0.004707125668774951,0.028644449434752674
mean NdValence,0.005110376653216797,0.026876589392631926
avg_dev GSvolume_pa,0.005525847075285174,0.026644457724219188
maximum GSvolume_pa,0.005879158321604432,0.026590419803188662
mode NUnfilled,0.0052585815945001965,0.0262995009522925
max ionic char,0.004739275351313714,0.02613052882983101
maximum CovalentRadius,0.004895670055371078,0.026060240234936534
range MendeleevNumber,0.003955873332068998,0.02600041521949643
range Electronegativity,0.006924390548247862,0.02584450936137265
minimum MendeleevNumber,0.0068862103709829295,0.02541058968807737
range NpUnfilled,0.005698099978261602,0.025372034899624363
range MeltingT,0.004992977931360854,0.025103084541272542
avg_dev MeltingT,0.0038384335494755957,0.024580761528199525
Yang omega,0.006073751203838713,0.024485590683614007
mode Electronegativity,0.0047705239315146055,0.023651320031996843
maximum NpUnfilled,0.002494379313335504,0.02285862781249128
minimum Electronegativity,0.0039165343492247795,0.02267976933802729
maximum NpValence,0.0022765261265758493,0.02224576359672481
avg_dev NdUnfilled,0.004432688677248098,0.02057576401355429
avg_dev NUnfilled,0.004090692119529403,0.020257516519895085
range GSvolume_pa,0.0028422221594039186,0.020091235638192383
mean NdUnfilled,0.003644290867883261,0.019068111281759996
mean SpaceGroupNumber,0.0037337235936420587,0.01746275719371633
mean NsValence,0.0030333764586409706,0.017221308301631055
mode NValence,0.004866237928475766,0.017021904039341063
2-norm,0.0034660505997969188,0.016133609765754404
minimum NValence,0.002813386933301547,0.01581918998305858
maximum NUnfilled,0.0019919341704570607,0.015306591434447616
range Column,0.002097099025961261,0.014915760665300992
mean NfUnfilled,0.0011108675497389828,0.014754496175331939
range SpaceGroupNumber,0.0032428946908961277,0.014667377604418287
mode MendeleevNumber,0.0034660411340186807,0.014152915589572553
mean abs simul. packing efficiency,0.0027944299233076384,0.013776421241593655
mean simul. packing efficiency,0.002572456132468517,0.013670129641274982
mean GSmagmom,0.0020250164663130872,0.013427499062817183
mode NdValence,0.0023853010231056383,0.012950788383044382
minimum Column,0.0020368580828374113,0.012767128345572303
dist from 1 clusters |APE| < 0.010,0.002463096840772711,0.012521998048133389
maximum NdUnfilled,0.001862531961315356,0.010926945439531332
mode GSbandgap,0.0007848423344598729,0.010620353327326538
range NUnfilled,0.002005523635981337,0.010522752921567765
range NdUnfilled,0.0023763953096054887,0.01002710802038093
minimum SpaceGroupNumber,0.0012482552666590275,0.009760274718648577
mode GSmagmom,0.0017221895169994242,0.00895459298901434
mean NsUnfilled,0.001335959658236811,0.00842150186202183
mode Column,0.001927609412001552,0.00832951734188457
mode NdUnfilled,0.0009447315378837682,0.007271904345795266
