feat_name,importance,totalImp
minimum CovalentRadius,0.090221954604108,0.3596281063309632
avg_dev Column,0.04351349804080676,0.25759031182074316
mean GSbandgap,0.034925497174656116,0.19060692705979426
avg_dev GSmagmom,0.03357331998969227,0.16195220041001052
minimum GSvolume_pa,0.014007614184281899,0.15986966354193746
avg_dev Electronegativity,0.031109216131015405,0.15634943199663223
avg_dev NpValence,0.031077783152092944,0.14738128134263453
mode MeltingT,0.005153085008254293,0.13789123011607424
mode NValence,0.01887359262403081,0.13676378296719816
avg_dev Row,0.017905986994482953,0.1277695499101397
mean CovalentRadius,0.039460580893439255,0.1272149407133978
mean NpValence,0.05291240332580866,0.12172523516439474
avg_dev NdValence,0.018997520801637306,0.11244651615197429
mean GSvolume_pa,0.020133757069790634,0.10781154964636425
mean SpaceGroupNumber,0.012528054003605113,0.10617788622450275
avg_dev NpUnfilled,0.03264087276241343,0.1052019314203433
avg_dev Number,0.016765058095687155,0.10502788545036701
avg_dev SpaceGroupNumber,0.029268795045185692,0.10492519395727905
mean GSmagmom,0.007612675221781474,0.104219394913136
avg_dev NValence,0.01845333094533333,0.10057840570300623
mean Electronegativity,0.007125956577853333,0.0924612459807456
Yang delta,0.015023217992402936,0.08466393818364384
avg_dev CovalentRadius,0.022737499729329133,0.08207037414398818
mean NpUnfilled,0.033657097036346506,0.0811929963723935
mean NsUnfilled,0.0192610667327457,0.07336788817755202
mean NValence,0.01876652498447811,0.07208164868203036
mode Number,0.02219113938144458,0.06578991402218802
mode Column,0.006558805297013004,0.06197123539159431
mean Column,0.021036556480479515,0.0595647014018266
avg_dev NsUnfilled,0.010948065634732475,0.05838295497680986
mean NfValence,0.012928047980842286,0.057453764556126684
mean NUnfilled,0.0072296879554200775,0.05717117995560946
range Number,0.00993803403475145,0.053962308796917775
mean MeltingT,0.006958473051065725,0.05339939681465983
maximum Number,0.008779703105426485,0.05214107767869075
mean Number,0.00798945226530849,0.0512385398269285
avg_dev MeltingT,0.009300458868866995,0.050576181580583635
mode GSvolume_pa,0.006254975587249506,0.049513025897011245
mean NdValence,0.008624474532596911,0.0461920350116813
avg_dev MendeleevNumber,0.009386672688215409,0.04605192357238343
maximum NValence,0.01128893358307433,0.044977731352954964
range CovalentRadius,0.005684886562302326,0.043888754330104834
mean MendeleevNumber,0.008920073682541442,0.04090392260850662
2-norm,0.0059570365006217625,0.03920646641952791
avg_dev NdUnfilled,0.009042044988345883,0.03891609338719388
mean abs simul. packing efficiency,0.009349577270742976,0.037013508369560424
range SpaceGroupNumber,0.0075669695172926625,0.0343985103947487
avg_dev GSvolume_pa,0.010642942071814368,0.03203217202074783
Yang omega,0.005626234275876746,0.03194757819129303
range Electronegativity,0.00430601835574297,0.03112716007155713
mode MendeleevNumber,0.006362925908557348,0.031033994259523204
avg_dev NUnfilled,0.005888295655405538,0.030852438898722898
avg_dev NsValence,0.0042963616088860105,0.025813649681074163
mean simul. packing efficiency,0.006144417857687152,0.025513369768537325
mean NsValence,0.004545575412996797,0.025143631188148458
mean NdUnfilled,0.004506303169155886,0.0229453571026516
dist from 3 clusters |APE| < 0.010,0.0071260975367504805,0.022161511779960473
range MendeleevNumber,0.0037120221789794135,0.021655945629114395
minimum Number,0.001471726943419146,0.02137337510896254
maximum GSvolume_pa,0.004438014476895281,0.02047061238075633
minimum MendeleevNumber,0.004718325008733996,0.02035090588159282
dist from 5 clusters |APE| < 0.010,0.0035587137077879687,0.019562503182777292
dist from 1 clusters |APE| < 0.010,0.005066498215365585,0.019300277280359605
range MeltingT,0.005372648520754462,0.018885506932050287
minimum MeltingT,0.0015707088015819378,0.018458871324240126
maximum CovalentRadius,0.0015280261304598782,0.01760932654480018
maximum MendeleevNumber,0.0016439649528025777,0.017548328128992707
maximum MeltingT,0.0031048888589862616,0.015264256999003661
range Row,0.0037557593248927178,0.014988876629575399
minimum Electronegativity,0.0040874229900353795,0.01331512848586127
range Column,0.001877174346711773,0.007608147669250701
0-norm,0.0017226520242258961,0.005779038633397949
maximum NpUnfilled,0.00043949105388196,0.00513339889536127
maximum SpaceGroupNumber,0.0008467625220189967,0.004441894604832229
