feat_name,importance,totalImp
minimum CovalentRadius,0.06442357709641683,0.2745138760699297
mean GSbandgap,0.04887636250640415,0.19589793318700302
avg_dev Column,0.02675554074154069,0.1859957681013473
mode NValence,0.022678051695049467,0.1688423048344272
mean GSmagmom,0.0250562123914266,0.14091585587653288
avg_dev NpValence,0.03712756201584859,0.1349069452983904
avg_dev NdValence,0.021771726728039315,0.13127138005098757
avg_dev GSmagmom,0.014508198893633098,0.12841615352670732
avg_dev Row,0.019217397835138737,0.12528621212388705
avg_dev NValence,0.019123412568902265,0.12208768395465723
mean CovalentRadius,0.029616893534979604,0.11733120114040074
mode MeltingT,0.004917360848937091,0.11656612880739985
avg_dev Electronegativity,0.02594042274914944,0.11563479703959827
minimum GSvolume_pa,0.014581810471754037,0.11095670666907838
mean NpValence,0.03170808373803634,0.09242546833759868
Yang delta,0.013844683933006008,0.08955396597540477
avg_dev Number,0.017207562409193675,0.08687186594916281
avg_dev NpUnfilled,0.027359714991390685,0.08683295632864285
mean GSvolume_pa,0.02419875004985104,0.08477504990372395
avg_dev SpaceGroupNumber,0.0170583760596439,0.08301195816411965
mean SpaceGroupNumber,0.014093437743540525,0.08147509437371175
maximum GSbandgap,0.011927332014008534,0.08075954627977004
mean NValence,0.01856906124236001,0.07959298320544686
mean NpUnfilled,0.030114293645362375,0.07937148829544115
avg_dev CovalentRadius,0.01378945566237137,0.07183240308337892
mean Electronegativity,0.009955742198876086,0.06849692805789874
mode Column,0.0027090567763437216,0.06756283758946466
mean NsUnfilled,0.019750685033345317,0.06466649529375154
range Number,0.012857401674556903,0.06074776551138884
mean Column,0.011296076425804403,0.05858929477736556
mean MeltingT,0.009326527225583019,0.05805592095932543
mode GSvolume_pa,0.007019587281764822,0.05598452022563012
avg_dev NsUnfilled,0.010505795397321447,0.05270572986299165
mean Number,0.009923253217916018,0.051838313389808835
range CovalentRadius,0.00710212691808294,0.05082104172308839
avg_dev MendeleevNumber,0.010839490959703742,0.04906804146082341
mode Number,0.013596926037683194,0.04904398376767943
mean NdValence,0.01251442057501387,0.048602199127303944
mean NUnfilled,0.005374909659461326,0.04815655707722028
maximum GSmagmom,0.006996376139924302,0.046318559091757215
avg_dev MeltingT,0.008533708720224648,0.04527867091885028
mode Electronegativity,0.01075973476498917,0.04293956451871364
mean NfValence,0.011854440305556888,0.042879372596938845
maximum Number,0.00972802656053761,0.04212926287278212
maximum NValence,0.008207800761595177,0.0376433410551758
avg_dev NdUnfilled,0.006779447880656798,0.03641599161747139
2-norm,0.006146606137228925,0.03544531415190893
mean MendeleevNumber,0.009666431076318502,0.03435999429374773
range SpaceGroupNumber,0.017745427895914278,0.033909331026015864
maximum NdValence,0.00605776498750328,0.0329515743466579
range Electronegativity,0.006050795792293455,0.03275305515388044
minimum Number,0.006723958302342735,0.03214642608513147
mean NsValence,0.008826746651287949,0.030756744584693085
mode MendeleevNumber,0.005579580386031113,0.03075088759994975
mean abs simul. packing efficiency,0.005820285182098984,0.030485324137215032
minimum MendeleevNumber,0.006423535331272424,0.030283439114059427
Yang omega,0.004311889501252715,0.028457496878625883
avg_dev GSvolume_pa,0.004831553489897638,0.027887317405577136
mode NUnfilled,0.0027976729877400076,0.026914310274628685
maximum GSvolume_pa,0.004377500220711142,0.026241312107913358
maximum Electronegativity,0.005797010092367367,0.026223540316182906
avg_dev NUnfilled,0.00737652971150491,0.026033106612148908
minimum MeltingT,0.002967946454308378,0.02422756480386153
mean simul. packing efficiency,0.0044839879535668896,0.023820727831009966
avg_dev NsValence,0.004572310923771303,0.02349590833602961
maximum NfValence,0.0044167264673908605,0.021280769134061378
dist from 1 clusters |APE| < 0.010,0.00574848976457102,0.021096803421014585
dist from 5 clusters |APE| < 0.010,0.0027140849047260656,0.020259462317008838
minimum Column,0.0035231751046535843,0.019469119665294934
mode NdValence,0.005903318734650645,0.018083460826517697
mean NdUnfilled,0.0023212530363141163,0.017590905347202902
range MendeleevNumber,0.0028929636591180983,0.017550584931937563
dist from 3 clusters |APE| < 0.010,0.005040521815383667,0.01730299880945537
mode CovalentRadius,0.003241359212825947,0.015501984624249551
minimum SpaceGroupNumber,0.005561665978537941,0.014455005487070934
minimum NUnfilled,0.00333382399737951,0.014330330831694178
range MeltingT,0.0027327002671837025,0.013661218452348703
minimum Electronegativity,0.003737002507638981,0.01356592111592295
maximum Column,0.0008144092424604073,0.013387267932718891
range Row,0.0028277467900705185,0.013245915619777636
maximum MendeleevNumber,0.0020405364784920506,0.012976939321224274
maximum MeltingT,0.0017120176640796783,0.012894878600211795
maximum CovalentRadius,0.002191782025415079,0.012294173458337486
maximum NUnfilled,0.0007139727344369682,0.011039845746466683
maximum Row,0.0009286550006982907,0.00849941874370349
mode NdUnfilled,0.0013149752263579382,0.007949315442103654
minimum NValence,0.0008631002155109388,0.00704211256050302
mode SpaceGroupNumber,0.0035398551936485605,0.00693609757027581
mode NsValence,0.0012014466997227347,0.006836565284746859
maximum NdUnfilled,0.0021723351648769203,0.006459776992006602
0-norm,0.0007709666356075551,0.005467577814342198
mean NfUnfilled,0.0008265484232824234,0.005384754476818501
maximum NpUnfilled,0.0004901627221855113,0.00531848118172108
maximum SpaceGroupNumber,0.001871918162106487,0.003686743324678417
maximum NfUnfilled,0.000675056714139272,0.003607180990915084
range Column,0.0003901552766110966,0.0034907879909480063
maximum NsUnfilled,0.0014422168403193767,0.002746905271436553
range NsValence,0.0002824827328933317,0.0025545450105205793
mode NsUnfilled,0.0007713428021612446,0.002210740533245527
minimum NsValence,0.0003368826462117154,0.0016079180381022519
