,importance,totalImp
dist from 3 clusters |APE| < 0.010,0.0014186761803649387,0.003224719226678268
dist from 1 clusters |APE| < 0.010,0.0005641151628984807,0.003095299651784533
dist from 5 clusters |APE| < 0.010,0.0012895706368192426,0.0030133209986997474
range NdValence,0.0009818459802228491,0.0030128073060719956
mode NpValence,0.00025808621019060346,0.0028491521910644266
range Row,0.0006667479850766005,0.0027944610302211375
maximum GSmagmom,0.0004920167898603545,0.0027042951376049294
minimum NsValence,4.2231204209527234e-05,0.0026773736038954742
range SpaceGroupNumber,0.0006714974226615431,0.0024838203923910626
avg_dev NfUnfilled,0.00016073179132349821,0.0024496134966436964
mode SpaceGroupNumber,0.0005278866594994931,0.002305463993887283
minimum SpaceGroupNumber,0.0006611955713956667,0.002029444236592527
maximum NpUnfilled,0.0014205794092298316,0.0019046597984787074
minimum Row,0.00015839049678434365,0.0013570189956117224
0-norm,0.00031536968652682613,0.0012426445250369785
maximum NpValence,0.000643320756743659,0.001242583740244653
maximum NfUnfilled,0.0001253685127771005,0.0012186436649005462
maximum SpaceGroupNumber,0.00015212914629341042,0.0007721447436299968
mode NfUnfilled,4.579117257425319e-05,0.0007701536772101621
range NfUnfilled,6.579167503552053e-05,0.00030753784172706064
mode NpUnfilled,3.3049773512752684e-07,0.00029445381536397184
minimum NdValence,6.350283098685875e-05,0.00023145017991229919
minimum NdUnfilled,0.0001346654294715695,0.0002251482974853669
range NsUnfilled,6.978440618968751e-05,0.0002017609420802664
maximum NsUnfilled,5.9158472998141067e-05,0.00013911904636780678
mode NsUnfilled,1.2360743952796599e-06,7.171118718377643e-05
minimum GSmagmom,0.0,1.0426486557612069e-06
minimum NpUnfilled,0.0,0.0
